"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",8878296,8878433,138,"*","MYC_A549_peak_12",35,".",3.03513,7.00361,3.51281,71,"Promoter (<=1kb)",1,8866361,8878267,11907,2,"2023","ENST00000497492.1",-29,"ENSG00000074800","ENO1","enolase 1"
"chr1",8879196,8879328,133,"*","MYC_A549_peak_13",59,".",3.48674,9.70989,5.98647,35,"Promoter (<=1kb)",1,8868049,8879190,11142,2,"2023","ENST00000489867.2",-6,"ENSG00000074800","ENO1","enolase 1"
"chr1",9402002,9402173,172,"*","MYC_A549_peak_14",62,".",6.19762,9.96097,6.21526,40,"Distal Intergenic",1,9426975,9428916,1942,2,"100506022","ENST00000641507.1",26743,"ENSG00000284693","LINC02606","long intergenic non-protein coding RNA 2606"
"chr1",11060076,11060279,204,"*","MYC_A549_peak_15",77,".",4.4859,11.5921,7.75175,136,"Promoter (<=1kb)",1,11060300,11102095,41796,1,"105376736","ENST00000715292.1",-21,"ENSG00000230337","EXOSC10-AS1","EXOSC10 antisense RNA 1"
"chr1",11273392,11273600,209,"*","MYC_A549_peak_16",101,".",4.57067,14.0966,10.1286,137,"Promoter (<=1kb)",1,11273528,11295164,21637,1,"29914","ENST00000376804.2",0,"ENSG00000120942","UBIAD1","UbiA prenyltransferase domain containing 1"
"chr1",12595930,12596190,261,"*","MYC_A549_peak_17",246,".",10.9778,29.0226,24.6685,135,"Promoter (<=1kb)",1,12578718,12596308,17591,2,"9249","ENST00000430996.2",118,"ENSG00000162496","DHRS3","dehydrogenase/reductase 3"
"chr1",15284743,15284854,112,"*","MYC_A549_peak_18",42,".",5.14375,7.80475,4.23432,70,"Promoter (2-3kb)",1,15287045,15289641,2597,1,"114827","ENST00000462113.1",-2191,"ENSG00000142621","FHAD1","forkhead associated phosphopeptide binding domain 1"
"chr1",15584544,15584801,258,"*","MYC_A549_peak_19",274,".",12.5068,31.8392,27.448,98,"Promoter (<=1kb)",1,15571699,15585051,13353,2,"79814","ENST00000375826.4",250,"ENSG00000116771","AGMAT","agmatinase (putative)"
"chr1",15584926,15585025,100,"*","MYC_A549_peak_20",29,".",4.56428,6.43609,2.99383,20,"Promoter (<=1kb)",1,15571699,15585051,13353,2,"79814","ENST00000375826.4",26,"ENSG00000116771","AGMAT","agmatinase (putative)"
"chr1",15800509,15800637,129,"*","MYC_A549_peak_21",50,".",4.22043,8.71601,5.07167,81,"Distal Intergenic",1,15807374,15807649,276,2,"440567","ENST00000696689.1",7012,"ENSG00000233954","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like"
"chr1",16167431,16167542,112,"*","MYC_A549_peak_22",73,".",5.62348,11.2239,7.39749,71,"Distal Intergenic",1,16159266,16161883,2618,1,"101927479","ENST00000426353.1",8165,NA,"EPHA2-AS1","EPHA2 antisense RNA 1"
"chr1",16181955,16182129,175,"*","MYC_A549_peak_23",15,".",3.34264,4.79185,1.57805,49,"Distal Intergenic",1,16159266,16161883,2618,1,"101927479","ENST00000426353.1",22689,NA,"EPHA2-AS1","EPHA2 antisense RNA 1"
"chr1",16440547,16440694,148,"*","MYC_A549_peak_24",100,".",3.95671,14.0129,10.0473,54,"Promoter (<=1kb)",1,16440721,16459008,18288,1,"55707","ENST00000504551.6",-27,"ENSG00000157191","NECAP2","NECAP endocytosis associated 2"
"chr1",16960772,16960879,108,"*","MYC_A549_peak_25",68,".",3.89416,10.6508,6.8682,82,"Exon (ENST00000375541.10/9696, exon 27 of 37)",1,16966028,16970742,4715,1,"9696","ENST00000465021.5",-5149,"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin"
"chr1",17233725,17234070,346,"*","MYC_A549_peak_26",132,".",8.32266,17.4005,13.2982,181,"Intron (ENST00000375471.5/29943, intron 11 of 15)",1,17239632,17245968,6337,1,"29943","ENST00000648847.1",-5562,"ENSG00000142623","PADI1","peptidyl arginine deiminase 1"
"chr1",17755242,17755418,177,"*","MYC_A549_peak_27",115,".",7.81562,15.5724,11.5343,70,"Promoter (<=1kb)",1,17755333,17827063,71731,1,"81569","ENST00000375406.2",0,"ENSG00000117148","ACTL8","actin like 8"
"chr1",20613671,20613771,101,"*","MYC_A549_peak_28",37,".",3.91117,7.28745,3.75842,65,"Intron (ENST00000461985.1/978, intron 2 of 2)",1,20633458,20651511,18054,1,"65018","ENST00000321556.5",-19687,"ENSG00000158828","PINK1","PTEN induced kinase 1"
"chr1",20733165,20733270,106,"*","MYC_A549_peak_29",56,".",3.70087,9.36461,5.65454,77,"Promoter (<=1kb)",1,20724631,20732837,8207,2,"400745","ENST00000518294.5",-328,"ENSG00000189410","SH2D5","SH2 domain containing 5"
"chr1",21176684,21176804,121,"*","MYC_A549_peak_30",84,".",4.45046,12.3086,8.42458,93,"Promoter (<=1kb)",1,21175114,21176819,1706,2,"8672","ENST00000634778.1",15,"ENSG00000075151","EIF4G3","eukaryotic translation initiation factor 4 gamma 3"
"chr1",22747493,22747697,205,"*","MYC_A549_peak_31",89,".",6.55774,12.8082,8.90315,131,"Intron (ENST00000544305.5/2048, intron 1 of 6)",1,22775178,22913752,138575,1,"2048","ENST00000374627.1",-27481,"ENSG00000133216","EPHB2","EPH receptor B2"
"chr1",23197028,23197171,144,"*","MYC_A549_peak_32",68,".",5.94357,10.5893,6.80973,78,"Intron (ENST00000374619.2/3352, intron 1 of 1)",1,23084030,23178152,94123,2,"7798","ENST00000713667.1",-18876,"ENSG00000169641","LUZP1","leucine zipper protein 1"
"chr1",23344636,23344843,208,"*","MYC_A549_peak_33",125,".",4.7912,16.6255,12.5492,92,"Promoter (<=1kb)",1,23304688,23344336,39649,2,"10236","ENST00000478691.5",-300,"ENSG00000125944","HNRNPR","heterogeneous nuclear ribonucleoprotein R"
"chr1",23979886,23980109,224,"*","MYC_A549_peak_34",174,".",5.98608,21.6658,17.4463,147,"Promoter (<=1kb)",1,23971339,23980271,8933,2,"10772","ENST00000495785.1",162,"ENSG00000188529","SRSF10","serine and arginine rich splicing factor 10"
"chr1",25998234,25998402,169,"*","MYC_A549_peak_35",41,".",2.40814,7.75553,4.18782,72,"Promoter (<=1kb)",1,25982365,25998117,15753,2,"5051","ENST00000464540.1",-117,"ENSG00000158006","PAFAH2","platelet activating factor acetylhydrolase 2"
"chr1",26695632,26695763,132,"*","MYC_A549_peak_36",57,".",2.90159,9.41343,5.70177,49,"Promoter (<=1kb)",1,26692132,26695943,3812,2,"101928728","ENST00000569378.2",180,NA,"LOC101928728","uncharacterized LOC101928728"
"chr1",27192126,27192340,215,"*","MYC_A549_peak_37",84,".",4.45046,12.3086,8.42458,127,"Distal Intergenic",1,27114233,27166981,52749,2,"6548","ENST00000374084.2",-25145,"ENSG00000090020","SLC9A1","solute carrier family 9 member A1"
"chr1",28643094,28643247,154,"*","MYC_A549_peak_38",41,".",2.56022,7.75937,4.19155,119,"Promoter (<=1kb)",1,28643228,28648530,5303,1,"105378616","ENST00000420776.1",0,"ENSG00000229388","TAF12-DT","TAF12 divergent transcript"
"chr1",31155359,31155569,211,"*","MYC_A549_peak_39",194,".",7.35112,23.6871,19.4219,137,"Distal Intergenic",1,31181589,31188153,6565,2,"79570","ENST00000526106.5",32584,"ENSG00000084628","NKAIN1","sodium/potassium transporting ATPase interacting 1"
"chr1",31938518,31938702,185,"*","MYC_A549_peak_40",139,".",4.75678,18.0266,13.9032,55,"Promoter (<=1kb)",1,31906421,31938368,31948,2,"8073","ENST00000647444.2",-150,"ENSG00000184007","PTP4A2","protein tyrosine phosphatase 4A2"
"chr1",32351054,32351164,111,"*","MYC_A549_peak_41",67,".",4.41905,10.5157,6.73937,58,"Promoter (<=1kb)",1,32351521,32353541,2021,1,"124903933","ENST00000421153.2",-357,NA,"LOC124903933","uncharacterized LOC124903933"
"chr1",33342456,33342566,111,"*","MYC_A549_peak_42",50,".",5.1128,8.68286,5.04464,28,"Intron (ENST00000630909.2/ENST00000630909.2, intron 1 of 1)",1,33330071,33349650,19580,2,"1912","ENST00000486897.5",7084,"ENSG00000134686","PHC2","polyhomeotic homolog 2"
"chr1",34859858,34859979,122,"*","MYC_A549_peak_43",145,".",4.5893,18.7317,14.5926,56,"Promoter (<=1kb)",1,34855169,34859755,4587,2,"113444","ENST00000456842.1",-103,"ENSG00000163866","SMIM12","small integral membrane protein 12"
"chr1",35718887,35718993,107,"*","MYC_A549_peak_44",31,".",3.74704,6.56183,3.10975,50,"Promoter (<=1kb)",1,35716198,35718894,2697,2,"127703","ENST00000453178.1",0,"ENSG00000142686","C1orf216","chromosome 1 open reading frame 216"
"chr1",37807762,37807899,138,"*","MYC_A549_peak_45",57,".",4.5297,9.46042,5.74552,56,"Promoter (<=1kb)",1,37807790,37809454,1665,1,"127687","ENST00000373042.5",0,"ENSG00000197982","C1orf122","chromosome 1 open reading frame 122"
"chr1",38012421,38012569,149,"*","MYC_A549_peak_46",125,".",3.77784,16.6272,12.5508,89,"Promoter (<=1kb)",1,38012734,38016976,4243,1,"51118","ENST00000486563.1",-165,"ENSG00000183520","UTP11","UTP11 small subunit processome component"
"chr1",39934324,39934473,150,"*","MYC_A549_peak_47",71,".",5.27554,10.9285,7.131,69,"Distal Intergenic",1,39955112,39969968,14857,1,"84879","ENST00000420632.6",-20639,"ENSG00000168389","MFSD2A","MFSD2 lysolipid transporter A, lysophospholipid"
"chr1",40979723,40979842,120,"*","MYC_A549_peak_48",68,".",3.9908,10.6508,6.8682,58,"Promoter (<=1kb)",1,40979741,41012546,32806,1,"1503","ENST00000498694.2",0,"ENSG00000171793","CTPS1","CTP synthase 1"
"chr1",40979986,40980138,153,"*","MYC_A549_peak_49",48,".",3.80422,8.51696,4.88583,89,"Promoter (<=1kb)",1,40980055,41012564,32510,1,"1503","ENST00000470271.6",0,"ENSG00000171793","CTPS1","CTP synthase 1"
"chr1",41382337,41382436,100,"*","MYC_A549_peak_50",27,".",4.36521,6.17104,2.74794,9,"Exon (ENST00000372591.1/100132074, exon 2 of 2)",1,41375004,41375669,666,2,"101929901","ENST00000429109.1",-6668,"ENSG00000229901","FOXO6-AS1","FOXO6 antisense RNA 1"
"chr1",41496419,41496548,130,"*","MYC_A549_peak_51",55,".",4.88896,9.25272,5.55434,53,"Distal Intergenic",1,41478775,41484683,5909,2,"1907","ENST00000372587.5",-11736,"ENSG00000127129","EDN2","endothelin 2"
"chr1",42682964,42683231,268,"*","MYC_A549_peak_52",106,".",4.027,14.6592,10.6583,101,"Promoter (<=1kb)",1,42682987,42702349,19363,1,"4904","ENST00000436427.1",0,"ENSG00000065978","YBX1","Y-box binding protein 1"
"chr1",43348866,43349027,162,"*","MYC_A549_peak_53",50,".",4.84168,8.65676,5.02106,66,"Promoter (<=1kb)",1,43349263,43352736,3474,1,"4352","ENST00000643351.1",-236,"ENSG00000117400","MPL","MPL proto-oncogene, thrombopoietin receptor"
"chr1",43531583,43531695,113,"*","MYC_A549_peak_54",41,".",4.82771,7.74577,4.17825,58,"Promoter (<=1kb)",1,43530903,43580078,49176,1,"5792","ENST00000436724.5",680,"ENSG00000142949","PTPRF","protein tyrosine phosphatase receptor type F"
"chr1",43979818,43979957,140,"*","MYC_A549_peak_55",113,".",6.8643,15.3533,11.324,54,"Promoter (<=1kb)",1,43979877,43991168,11292,1,"8704","ENST00000356836.10",0,"ENSG00000117411","B4GALT2","beta-1,4-galactosyltransferase 2"
"chr1",44030167,44030327,161,"*","MYC_A549_peak_56",91,".",4.14873,13.0969,9.1716,94,"Promoter (<=1kb)",1,44030414,44040448,10035,1,"107984948","ENST00000693417.1",-87,"ENSG00000230615","LOC107984948","uncharacterized LOC107984948"
"chr1",44327689,44327851,163,"*","MYC_A549_peak_57",176,".",9.35354,21.8929,17.6676,92,"Intron (ENST00000372257.7/79033, intron 3 of 8)",1,44221070,44323043,101974,2,"79033","ENST00000372259.9",-4646,"ENSG00000117419","ERI3","ERI1 exoribonuclease family member 3"
"chr1",44775582,44775740,159,"*","MYC_A549_peak_58",15,".",2.02156,4.74966,1.54433,5,"Promoter (<=1kb)",1,44775636,44778779,3144,1,"6202","ENST00000485390.5",0,"ENSG00000142937","RPS8","ribosomal protein S8"
"chr1",44786248,44786591,344,"*","MYC_A549_peak_59",68,".",3.89416,10.6508,6.8682,35,"Promoter (1-2kb)",1,44783585,44788170,4586,2,"266675","ENST00000372207.4",1579,"ENSG00000142959","BEST4","bestrophin 4"
"chr1",44799811,44799970,160,"*","MYC_A549_peak_60",217,".",5.74407,26.0516,21.7464,71,"Promoter (<=1kb)",1,44800377,44805990,5614,1,"1263","ENST00000372201.5",-407,"ENSG00000173846","PLK3","polo like kinase 3"
"chr1",44807446,44807584,139,"*","MYC_A549_peak_61",39,".",3.11785,7.53378,3.98364,69,"Promoter (<=1kb)",1,44805893,44807351,1459,2,"343521","ENST00000675259.1",-95,"ENSG00000188396","DYNLT4","dynein light chain Tctex-type 4"
"chr1",45550783,45550914,132,"*","MYC_A549_peak_62",70,".",3.50314,10.8118,7.02488,72,"Promoter (<=1kb)",1,45550783,45570048,19266,1,"10327","ENST00000621846.4",0,"ENSG00000117448","AKR1A1","aldo-keto reductase family 1 member A1"
"chr1",45802820,45802929,110,"*","MYC_A549_peak_63",56,".",3.70087,9.36461,5.65454,27,"Promoter (<=1kb)",1,45803612,46036122,232511,1,"23139","ENST00000361297.7",-683,"ENSG00000086015","MAST2","microtubule associated serine/threonine kinase 2"
"chr1",52056357,52056498,142,"*","MYC_A549_peak_64",42,".",3.52618,7.82424,4.2524,65,"Promoter (<=1kb)",1,52056332,52083500,27169,1,"91408","ENST00000533836.1",25,"ENSG00000134717","BTF3L4","basic transcription factor 3 like 4"
"chr1",52697991,52698201,211,"*","MYC_A549_peak_65",59,".",3.70489,9.71701,5.99351,119,"Promoter (<=1kb)",1,52687562,52698068,10507,2,"65260","ENST00000486918.1",0,"ENSG00000162377","COA7","cytochrome c oxidase assembly factor 7"
"chr1",53326447,53326904,458,"*","MYC_A549_peak_66",282,".",9.71176,32.6843,28.2858,343,"Promoter (<=1kb)",1,53246568,53327399,80832,2,"7804","ENST00000658404.1",495,"ENSG00000157193","LRP8","LDL receptor related protein 8"
"chr1",54971394,54971493,100,"*","MYC_A549_peak_67",41,".",5.10327,7.72121,4.15662,27,"Intron (ENST00000715513.1/199964, intron 1 of 1)",1,54975195,54980452,5258,2,"105378736","ENST00000641734.1",8959,"ENSG00000284601","LOC105378736","uncharacterized LOC105378736"
"chr1",58903803,58903927,125,"*","MYC_A549_peak_68",36,".",3.84201,7.14056,3.62176,57,"Promoter (<=1kb)",1,58882874,58903747,20874,2,"105378753","ENST00000634763.1",-56,"ENSG00000232453","LINC02777","long intergenic non-protein coding RNA 2777"
"chr1",63701298,63701535,238,"*","MYC_A549_peak_69",114,".",6.62857,15.4524,11.4196,95,"Distal Intergenic",1,63651355,63654445,3091,1,"5236","ENST00000483707.1",49943,"ENSG00000079739","PGM1","phosphoglucomutase 1"
"chr1",63731706,63731922,217,"*","MYC_A549_peak_70",158,".",9.86243,19.9868,15.8076,88,"Distal Intergenic",1,63774017,64181498,407482,1,"4919","ENST00000371079.6",-42095,"ENSG00000185483","ROR1","receptor tyrosine kinase like orphan receptor 1"
"chr1",64915978,64916147,170,"*","MYC_A549_peak_71",44,".",4.0658,7.99138,4.40735,93,"Intron (ENST00000342505.5/3716, intron 1 of 24)",1,64867100,64869408,2309,2,"3716","ENST00000672903.1",-46570,"ENSG00000162434","JAK1","Janus kinase 1"
"chr1",65002805,65002965,161,"*","MYC_A549_peak_72",83,".",6.62115,12.2728,8.39233,65,"Promoter (<=1kb)",1,64974611,65002489,27879,2,"101927084","ENST00000634604.2",-316,"ENSG00000226891","LINC01359","long intergenic non-protein coding RNA 1359"
"chr1",65067622,65067818,197,"*","MYC_A549_peak_73",64,".",4.68433,10.2238,6.46369,70,"Promoter (<=1kb)",1,64833234,65067731,234498,2,"3716","ENST00000671954.2",0,"ENSG00000162434","JAK1","Janus kinase 1"
"chr1",66271937,66272222,286,"*","MYC_A549_peak_74",91,".",7.41922,13.1024,9.1716,151,"Intron (ENST00000329654.8/5142, intron 7 of 16)",1,66257647,66266155,8509,1,"5142","ENST00000491340.2",14290,"ENSG00000184588","PDE4B","phosphodiesterase 4B"
"chr1",67430381,67430780,400,"*","MYC_A549_peak_75",87,".",3.62698,12.6546,8.7598,240,"Promoter (<=1kb)",1,67407810,67430402,22593,2,"26135","ENST00000361219.11",0,"ENSG00000142864","SERBP1","SERPINE1 mRNA binding protein 1"
"chr1",67832128,67832254,127,"*","MYC_A549_peak_76",41,".",3.77475,7.73977,4.17228,71,"Promoter (<=1kb)",1,67832293,67873321,41029,1,"100289178","ENST00000688125.2",-39,"ENSG00000232284","GNG12-AS1","GNG12, DIRAS3 and WLS antisense RNA 1"
"chr1",77039984,77040114,131,"*","MYC_A549_peak_77",52,".",5.58682,8.96701,5.28423,80,"Intron (ENST00000318803.6/81849, intron 2 of 4)",1,77060143,77060202,60,1,"102466995","ENST00000620979.1",-20029,"ENSG00000276081","MIR7156","microRNA 7156"
"chr1",77322437,77322548,112,"*","MYC_A549_peak_78",32,".",4.45685,6.6833,3.21307,90,"Intron (ENST00000354567.7/26289, intron 5 of 13)",1,77340405,77417849,77445,1,"26289","ENST00000465146.5",-17857,"ENSG00000154027","AK5","adenylate kinase 5"
"chr1",77682878,77683484,607,"*","MYC_A549_peak_79",105,".",4.89227,14.5376,10.5394,402,"Promoter (<=1kb)",1,77564888,77683419,118532,2,"26009","ENST00000370798.5",0,"ENSG00000036549","ZZZ3","zinc finger ZZ-type containing 3"
"chr1",84077649,84077760,112,"*","MYC_A549_peak_80",25,".",3.44727,5.94584,2.57976,22,"Promoter (<=1kb)",1,84078062,84238498,160437,1,"5567","ENST00000370689.6",-302,"ENSG00000142875","PRKACB","protein kinase cAMP-activated catalytic subunit beta"
"chr1",89516202,89516301,100,"*","MYC_A549_peak_81",66,".",5.86271,10.4518,6.67883,63,"Intron (ENST00000671515.1/105378844, intron 1 of 5)",1,89524829,89593366,68538,1,"23507","ENST00000439853.6",-8528,"ENSG00000197147","LRRC8B","leucine rich repeat containing 8 VRAC subunit B"
"chr1",89524258,89524638,381,"*","MYC_A549_peak_82",107,".",4.96317,14.7438,10.7419,149,"Promoter (<=1kb)",1,89524829,89593366,68538,1,"23507","ENST00000439853.6",-191,"ENSG00000197147","LRRC8B","leucine rich repeat containing 8 VRAC subunit B"
"chr1",89843326,89843536,211,"*","MYC_A549_peak_83",124,".",7.56088,16.4902,12.4158,98,"Promoter (<=1kb)",1,89843423,89933628,90206,1,"55144","ENST00000527156.1",0,"ENSG00000171492","LRRC8D","leucine rich repeat containing 8 VRAC subunit D"
"chr1",91021992,91022110,119,"*","MYC_A549_peak_84",62,".",4.20862,9.98219,6.23566,46,"Promoter (<=1kb)",1,90915304,91022035,106732,2,"84146","ENST00000337393.10",0,"ENSG00000122482","ZNF644","zinc finger protein 644"
"chr1",92785395,92785500,106,"*","MYC_A549_peak_85",57,".",4.17152,9.43585,5.72383,67,"Promoter (<=1kb)",1,92600005,92785108,185104,2,"7813","ENST00000706869.1",-287,"ENSG00000067208","EVI5","ecotropic viral integration site 5"
"chr1",92832027,92832374,348,"*","MYC_A549_peak_86",291,".",6.99187,33.5218,29.1141,227,"Promoter (<=1kb)",1,92832040,92841924,9885,1,"6125","ENST00000370321.8",0,"ENSG00000122406","RPL5","ribosomal protein L5"
"chr1",93345771,93345880,110,"*","MYC_A549_peak_87",89,".",4.33492,12.8513,8.94545,65,"Promoter (<=1kb)",1,93262186,93345831,83646,2,"100131564","ENST00000413606.5",0,NA,"CCDC18-AS1","CCDC18 antisense RNA 1"
"chr1",93701748,93701869,122,"*","MYC_A549_peak_88",52,".",5.52489,8.86683,5.21388,82,"Intron (ENST00000370244.5/8412, intron 3 of 13)",1,93561741,93681837,120097,2,"8412","ENST00000260502.11",-19911,"ENSG00000137936","BCAR3","BCAR3 adaptor protein, NSP family member"
"chr1",93846382,93846483,102,"*","MYC_A549_peak_89",51,".",4.40147,8.77235,5.12164,26,"Promoter (<=1kb)",1,93846832,93846911,80,1,"100126348","ENST00000390220.3",-349,"ENSG00000211575","MIR760","microRNA 760"
"chr1",93846529,93846764,236,"*","MYC_A549_peak_90",110,".",5.88607,15.0806,11.0707,145,"Promoter (<=1kb)",1,93846832,93846911,80,1,"100126348","ENST00000390220.3",-68,"ENSG00000211575","MIR760","microRNA 760"
"chr1",93909526,93909719,194,"*","MYC_A549_peak_91",57,".",4.01732,9.48485,5.76967,145,"Promoter (<=1kb)",1,93887034,93909456,22423,2,"2730","ENST00000615724.1",-70,"ENSG00000023909","GCLM","glutamate-cysteine ligase modifier subunit"
"chr1",98326240,98326355,116,"*","MYC_A549_peak_92",52,".",5.89222,8.96701,5.28423,35,"Distal Intergenic",1,98210747,98272658,61912,1,"729987","ENST00000418344.1",115493,"ENSG00000226053","LINC01776","long intergenic non-protein coding RNA 1776"
"chr1",100038563,100038702,140,"*","MYC_A549_peak_93",32,".",3.8303,6.7293,3.2575,51,"Promoter (<=1kb)",1,100038095,100083377,45283,1,"64645","ENST00000370152.8",468,"ENSG00000156875","MFSD14A","major facilitator superfamily domain containing 14A"
"chr1",108661168,108661284,117,"*","MYC_A549_peak_94",50,".",5.3733,8.64577,5.01085,62,"Promoter (<=1kb)",1,108648800,108661180,12381,2,"113802","ENST00000420055.1",0,"ENSG00000162639","HENMT1","HEN methyltransferase 1"
"chr1",109263674,109263782,109,"*","MYC_A549_peak_95",41,".",2.85382,7.67859,4.11488,43,"Promoter (1-2kb)",1,109265269,109266439,1171,1,"1952","ENST00000459940.1",-1487,"ENSG00000143126","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2"
"chr1",109619691,109619839,149,"*","MYC_A549_peak_96",102,".",4.12043,14.2051,10.2275,65,"Promoter (<=1kb)",1,109619831,109632044,12214,1,"271","ENST00000474459.6",0,"ENSG00000116337","AMPD2","adenosine monophosphate deaminase 2"
"chr1",114716742,114716908,167,"*","MYC_A549_peak_97",209,".",5.66675,25.2486,20.9549,95,"Promoter (<=1kb)",1,114704469,114716771,12303,2,"4893","ENST00000369535.5",0,"ENSG00000213281","NRAS","NRAS proto-oncogene, GTPase"
"chr1",119140577,119140698,122,"*","MYC_A549_peak_98",58,".",3.79197,9.58341,5.86461,67,"Promoter (<=1kb)",1,119031216,119140648,109433,2,"10352","ENST00000369426.9",0,"ENSG00000116874","WARS2","tryptophanyl tRNA synthetase 2, mitochondrial"
"chr1",120069611,120069753,143,"*","MYC_A549_peak_99",35,".",3.51703,7.09102,3.57525,69,"Promoter (<=1kb)",1,119911553,120069662,158110,2,"4853","ENST00000256646.7",0,"ENSG00000134250","NOTCH2","notch receptor 2"
"chr1",123605325,123605437,113,"*","MYC_A549_peak_100",34,".",4.38269,6.98722,3.49821,57,"Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",2085980,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",143735915,143736081,167,"*","MYC_A549_peak_101",78,".",6.52177,11.643,7.80068,70,"Exon (ENST00000692327.1/ENST00000692327.1, exon 1 of 2)",1,143729407,143729570,164,2,"26863","ENST00000384010.1",-6345,"ENSG00000206737","RNVU1-18","RNA, variant U1 small nuclear 18"
"chr1",145287247,145287363,117,"*","MYC_A549_peak_102",65,".",5.76467,10.2843,6.51841,74,"Intron (ENST00000427732.1/ENST00000427732.1, intron 1 of 1)",1,145281116,145281462,347,1,"101954266","ENST00000618589.1",6131,"ENSG00000207501","RNVU1-14","RNA, variant U1 small nuclear 14"
"chr1",146228204,146228347,144,"*","MYC_A549_peak_103",29,".",4.26197,6.37684,2.9404,46,"Promoter (<=1kb)",1,146164841,146228508,63668,2,"388677","ENST00000685177.1",161,"ENSG00000264343","NOTCH2NLA","notch 2 N-terminal like A"
"chr1",146228920,146229098,179,"*","MYC_A549_peak_104",68,".",5.34974,10.5973,6.81747,117,"Promoter (<=1kb)",1,146113652,146229000,115349,2,"100132406","ENST00000612520.2",0,"ENSG00000271425","NBPF10","NBPF member 10"
"chr1",146298666,146298782,117,"*","MYC_A549_peak_105",39,".",3.20375,7.53378,3.98364,35,"Promoter (<=1kb)",1,146298170,146298715,546,1,"170688","ENST00000578341.2",496,NA,"NUDT4P2","nudix hydrolase 4 pseudogene 2"
